"HDR";"010";"20200529000000"
"POS";"87222166";"U.S.D.";"";"0";"0";"1250";"1";"Raak Framb. Gaz. 1,25L Pet"
"POS";"87222319";"U.S.D.";"";"0";"0";"1500";"1";"Summit Orange 1,5L Pet"
"POS";"87222326";"U.S.D.";"";"0";"0";"1500";"1";"Summit Cola 1,5L Pet"
"POS";"87222333";"U.S.D.";"";"0";"0";"1500";"1";"Summit Drink 1,5L Pet"
"POS";"87222340";"U.S.D.";"";"0";"0";"1500";"1";"Summit Cola Light 1,5L Pet"
"POS";"8710400446279";"U.S.D.";"";"0";"0";"1500";"1";"AH Cassis 1,5L Pet"
"POS";"8710400446286";"U.S.D.";"";"0";"0";"1500";"1";"AH Cola Light 1,5L Pet"
"POS";"8710400446293";"U.S.D.";"";"0";"0";"1500";"1";"AH Cola Regular 1,5L Pet"
"POS";"8710400446347";"U.S.D.";"";"0";"0";"1500";"1";"AH IJsthee Light 1,5L Pet"
"POS";"8710400446354";"U.S.D.";"";"0";"0";"1500";"1";"AH IJsthee Sprankelend 1,5L"
"POS";"8710400446385";"U.S.D.";"";"0";"0";"1500";"1";"AH Lemon-Lime light 1,5L"
"POS";"8710400446392";"U.S.D.";"";"0";"0";"1500";"1";"AH  Lemon-Lime Regular 1,5L"
"POS";"8710400446408";"U.S.D.";"";"0";"0";"1500";"1";"AH Sinas Light 1,5L Pet"
"POS";"8710400446415";"U.S.D.";"";"0";"0";"1500";"1";"AH Sinas Regular 1,5L Pet"
"POS";"8710400446644";"U.S.D.";"";"0";"0";"1500";"1";"AH Cola Caf.Free 1,5L Pet"
"POS";"8710458009204";"U.S.D.";"";"0";"0";"1500";"1";"Markant Sinas 1,5L Pet"
"POS";"8710458009211";"U.S.D.";"";"0";"0";"1500";"1";"Markant Drink 1,5L Pet"
"POS";"8710458009228";"U.S.D.";"";"0";"0";"1500";"1";"Markant Cola 1,5L Pet"
"POS";"8710458009235";"U.S.D.";"";"0";"0";"1500";"1";"Markant Cassis 1,5L Pet"
"POS";"8710624021061";"U.S.D.";"";"0";"0";"1500";"1";"Perfect Sinas 1,5L Pet"
"POS";"8710624021085";"U.S.D.";"";"0";"0";"1500";"1";"Perfect Drink 1,5L Pet"
"POS";"8710624021108";"U.S.D.";"";"0";"0";"1500";"1";"Perfect Cola 1,5L Pet"
"POS";"8710624021122";"U.S.D.";"";"0";"0";"1500";"1";"Perfect Cassis 1,5L Pet"
"POS";"8710624021146";"U.S.D.";"";"0";"0";"1500";"1";"Perfect Cola Light 1,5L Pet"
"POS";"8710624021160";"U.S.D.";"";"0";"0";"1500";"1";"Perfect Sinas Light 1,5 Pet"
"POS";"8710624921354";"U.S.D.";"";"0";"0";"1500";"1";"Plus Lemon 1,5L Pet"
"POS";"8710933092578";"U.S.D.";"";"0";"0";"1500";"1";"O'lacy Cola 1,5L Pet"
"POS";"8710933092585";"U.S.D.";"";"0";"0";"1500";"1";"O'lacy Cola Light 1,5L Pet"
"POS";"8710933092592";"U.S.D.";"";"0";"0";"1500";"1";"O'lacy Drink 1,5L Pet"
"POS";"8710933092608";"U.S.D.";"";"0";"0";"1500";"1";"O'lacy Sinas 1,5L Pet"
